Time 	Sus 	Infected 	mean_inf 
0 	472408 	52685 	5 
100 	234370 	126917 	5.011157346240152 
200 	216736 	130720 	5.0400915763154259 
300 	217680 	129985 	5.0795803389884107 
400 	217367 	130162 	5.1242775822153934 
500 	210661 	129876 	5.1721810535636319 
600 	211407 	129430 	5.2334328492633304 
700 	211968 	127857 	5.2844328174577573 
800 	208774 	127011 	5.3614154561039227 
900 	206702 	126062 	5.4271306591210262 
1000 	202193 	126054 	5.4931715510021153 
1100 	201705 	126364 	5.5586505496978926 
1200 	200891 	124272 	5.6329819739219218 
1300 	197326 	121146 	5.7186511833860845 
1400 	196948 	121845 	5.7948397572087949 
1500 	195358 	120732 	5.8625879848563276 
1600 	192102 	119372 	5.9289949775108912 
1700 	191864 	118194 	6.0043609697495866 
1800 	188288 	117263 	6.0523060833071813 
1900 	186500 	116765 	6.1208961120636038 
2000 	187263 	116709 	6.1900997813613587 
2100 	186643 	114583 	6.2410167373148333 
2200 	181975 	112940 	6.2827357634773868 
2300 	182307 	114897 	6.3428770433287145 
2400 	179874 	114496 	6.403674355216058 
2500 	184230 	115295 	6.4492719268103924 
2600 	179811 	113861 	6.5058152100193505 
2700 	183386 	110995 	6.5555836687954576 
2800 	177118 	111451 	6.6060749035713187 
2900 	174957 	113588 	6.64092737568091 
3000 	173629 	109598 	6.6892649909062385 
3100 	173739 	107239 	6.732532890339515 
3200 	177609 	109109 	6.7598149231678768 
3300 	174877 	108321 	6.7796555166729862 
3400 	173245 	107910 	6.8140730506738878 
3500 	175488 	109204 	6.863649644805391 
3600 	170634 	108000 	6.8732282249063248 
3700 	169669 	108410 	6.9026305973629798 
3800 	171809 	107742 	6.9348090675721954 
3900 	167820 	105071 	6.9915486095957942 
4000 	169386 	106810 	7.0236089531262902 
4100 	171418 	104099 	7.041998922318407 
4200 	167331 	104825 	7.056193906145027 
4300 	168407 	105927 	7.0770019012642873 
4400 	170082 	104379 	7.1025616679405879 
4500 	163985 	103229 	7.1260823733972529 
4600 	166202 	104175 	7.1621422065663944 
4700 	169287 	103269 	7.1948810113623178 
4800 	165812 	104241 	7.2063333713836917 
4900 	170406 	101478 	7.2286350777853112 
5000 	164983 	103803 	7.2653292192223331 
5100 	160621 	101684 	7.2915543072681359 
5200 	164914 	100056 	7.2856279025861372 
5300 	167288 	100199 	7.3222519185464892 
5400 	169429 	102931 	7.3410110234674848 
5500 	160605 	100807 	7.3392370487581724 
5600 	165103 	101353 	7.3521158932014981 
5700 	167351 	102586 	7.3374049268811996 
5800 	166583 	101814 	7.3425527219199154 
5900 	164789 	102778 	7.3586106663116269 
6000 	164391 	100812 	7.376427305558475 
6100 	163397 	101070 	7.3763060122263306 
