Time 	Sus 	Infected 	mean_inf 
0 	472408 	52685 	5 
100 	195428 	83787 	5.0111709491937635 
200 	257496 	87164 	5.0413587166128346 
300 	239389 	87423 	5.0628369592766438 
400 	239902 	86678 	5.0873954279855678 
500 	239816 	85252 	5.1340524350605534 
600 	240397 	84760 	5.1759467365959075 
700 	239294 	85597 	5.2120534301061854 
800 	235876 	84777 	5.2723325549759412 
900 	234050 	84118 	5.3233481762009687 
1000 	233838 	85421 	5.3763764558645777 
1100 	234425 	82172 	5.4340875659028862 
1200 	229472 	83094 	5.4978310913269777 
1300 	230326 	81841 	5.559191351333272 
1400 	228985 	81964 	5.6273588003674639 
1500 	226534 	81212 	5.6662120800142413 
1600 	221964 	81337 	5.7412697748440937 
1700 	224598 	78308 	5.7919280740185473 
1800 	220183 	82400 	5.8720608756211154 
1900 	219640 	78645 	5.9090351765071221 
2000 	217500 	79030 	5.9542174957956338 
2100 	216759 	77519 	6.0053740439512122 
2200 	217373 	75953 	6.0393802050357337 
2300 	223814 	75508 	6.0769377441628247 
2400 	217763 	77341 	6.1490007104592168 
2500 	214641 	76790 	6.1788221590851444 
2600 	213194 	76914 	6.24961423055779 
2700 	208364 	77635 	6.2769758897019194 
2800 	213580 	74894 	6.3269032191395569 
2900 	210192 	75253 	6.3484495235838727 
3000 	212133 	74050 	6.3684856343469294 
3100 	210518 	76120 	6.400389688740999 
3200 	206320 	75109 	6.4504455461990444 
3300 	200457 	73354 	6.469242881482427 
3400 	208641 	74760 	6.4953709518678586 
3500 	205511 	73902 	6.511874839181738 
3600 	203271 	74923 	6.5406034417014025 
3700 	205393 	73609 	6.5727736843253304 
3800 	203248 	74292 	6.6130710849849423 
3900 	201626 	70526 	6.6049490741918433 
4000 	204723 	70786 	6.6554038423918325 
4100 	204983 	72363 	6.6531908307858343 
4200 	202620 	73165 	6.665086842268761 
4300 	201317 	74764 	6.6875523562081707 
4400 	199247 	71970 	6.6940432460910726 
4500 	203557 	72175 	6.7360597928325898 
4600 	202283 	74450 	6.7394529159509062 
4700 	198768 	70952 	6.7752108504265243 
4800 	200601 	71319 	6.8197346568633801 
4900 	197186 	69927 	6.8269075013885727 
5000 	205973 	70031 	6.8369542586518692 
5100 	202704 	73047 	6.8495762221532921 
5200 	199625 	70680 	6.8563307935124582 
5300 	194689 	70009 	6.8959786671236563 
5400 	199635 	71059 	6.9152517988502895 
5500 	195828 	71790 	6.9019340478129863 
5600 	201815 	71261 	6.9134716769419908 
5700 	199667 	70907 	6.9311634640011706 
5800 	199166 	72017 	6.9058111763772887 
5900 	203863 	70742 	6.9167546992130982 
6000 	199739 	70133 	6.9582042228789467 
6100 	196385 	68617 	6.9765055990746392 
6200 	196643 	69444 	7.0042799430673952 
6300 	201274 	70340 	7.0249003513410067 
6400 	196879 	69357 	7.0494711330243867 
6500 	198080 	69904 	7.0517475772198068 
6600 	195830 	69759 	7.0727557354246322 
6700 	196610 	68519 	7.0945564737058895 
6800 	194219 	69159 	7.0925994527728884 
6900 	199536 	68058 	7.116364290832089 
7000 	199303 	71105 	7.1315938854442154 
7100 	198817 	70334 	7.1178681421512318 
7200 	199530 	70125 	7.1403032137161597 
7300 	190681 	68055 	7.0797051035367637 
7400 	198762 	69496 	7.1098503611121648 
7500 	201500 	69434 	7.1377366536128459 
7600 	190589 	69942 	7.1410415665146756 
7700 	195095 	68560 	7.179733927283082 
7800 	193034 	68319 	7.1715271978404518 
7900 	196460 	68398 	7.1425128540078129 
8000 	197623 	70714 	7.2072683902030779 
8100 	195374 	67672 	7.1761071917642534 
8200 	193443 	67534 	7.2106731233336374 
8300 	191305 	71316 	7.2041601971137643 
8400 	194806 	66674 	7.198707845437597 
8500 	197755 	69289 	7.2179254518083935 
8600 	191552 	67907 	7.2231931485075105 
8700 	194558 	66912 	7.1945344263210966 
8800 	193979 	68865 	7.2013394104915802 
8900 	197554 	68769 	7.2238375487129236 
9000 	196899 	66685 	7.258564178989789 
9100 	192055 	68347 	7.2730841203446186 
9200 	197049 	69370 	7.2753995274692871 
9300 	191111 	69577 	7.3002114922738617 
9400 	195117 	68239 	7.2587087936182169 
9500 	194575 	70427 	7.2685027352448568 
9600 	187797 	67176 	7.2868990238485001 
9700 	194156 	68485 	7.2436151119298975 
9800 	195792 	68222 	7.2166097836947225 
9900 	193265 	69195 	7.2305654635218906 
10000 	198230 	67454 	7.1605180545781932 
10100 	197478 	70761 	7.1803079114195132 
10200 	192279 	69412 	7.192672508227469 
10300 	196260 	67645 	7.2209168178793446 
10400 	200311 	69046 	7.2072408277936697 
10500 	201738 	69947 	7.1902289538399868 
10600 	192216 	68625 	7.1953594161431553 
10700 	197466 	69226 	7.19238372155655 
10800 	190995 	69161 	7.2159694234758431 
10900 	203132 	67779 	7.225255549222048 
11000 	203495 	69367 	7.2279774877616498 
11100 	193202 	68234 	7.2358933253687816 
11200 	195288 	69005 	7.2177551082905795 
11300 	196703 	69270 	7.2620375005110205 
11400 	193720 	67604 	7.2874680625827031 
11500 	194811 	66189 	7.2590529810092672 
11600 	200328 	68259 	7.2684278479787272 
11700 	195055 	70328 	7.2704306731041157 
11800 	191741 	67748 	7.2306797379103269 
11900 	196213 	69020 	7.2503521686165913 
12000 	194745 	68566 	7.2105034790834326 
12100 	192546 	68141 	7.1890639623683867 
12200 	196084 	68237 	7.1723781775189943 
12300 	202310 	67810 	7.199329418988726 
12400 	194922 	69906 	7.1917305209723308 
12500 	197311 	68506 	7.1742266712640577 
12600 	197389 	69954 	7.1922137097850154 
12700 	192674 	67932 	7.2167545542026099 
12800 	192852 	67730 	7.2312172704406441 
12900 	197110 	67187 	7.2147170683589801 
13000 	194157 	69115 	7.2768271450623034 
13100 	194466 	69805 	7.2438663478588889 
13200 	199126 	68503 	7.2582838308190327 
13300 	195532 	68852 	7.3226142554074478 
13400 	196689 	67690 	7.3237640833121898 
13500 	191748 	66345 	7.3004423277376986 
13600 	189246 	65326 	7.3189636895307491 
13700 	202150 	66620 	7.3543841771895311 
13800 	191836 	66534 	7.3603470843364196 
13900 	189916 	68965 	7.368840572491453 
14000 	192021 	66673 	7.3574698234286116 
14100 	193075 	67120 	7.3684341715116322 
14200 	195428 	66797 	7.3499587473139618 
14300 	185401 	67902 	7.363662422820294 
14400 	192688 	65806 	7.3880701000425679 
14500 	190195 	67715 	7.4317074833515795 
14600 	190329 	64680 	7.3992336763934734 
14700 	189331 	65312 	7.3780427606646413 
14800 	194123 	68466 	7.3860894921742508 
14900 	190852 	66687 	7.3860808346478626 
15000 	194588 	69136 	7.3671784386922612 
15100 	192785 	67907 	7.3581218798626367 
15200 	191969 	66799 	7.3307051386878754 
15300 	192323 	67581 	7.3090883098019965 
15400 	194846 	67171 	7.3301333772425838 
15500 	195275 	69630 	7.3084812893697215 
15600 	200915 	68938 	7.2913550501764295 
15700 	192046 	67920 	7.2952563967089752 
15800 	190142 	67802 	7.2873483076612722 
15900 	195175 	68049 	7.2560992531363286 
16000 	197217 	68456 	7.2378379456314699 
16100 	198822 	68189 	7.1961519601815329 
16200 	196690 	67965 	7.1851013941852226 
16300 	191665 	66692 	7.2328940309008534 
16400 	197037 	66972 	7.2248776956728245 
16500 	194880 	68702 	7.2341638775676369 
16600 	195890 	67098 	7.1835015914351414 
16700 	199441 	66819 	7.2086952184986135 
16800 	193795 	68066 	7.2198324320652141 
16900 	197731 	67981 	7.2520232766213848 
17000 	192123 	67892 	7.2255789746841952 
17100 	193777 	69701 	7.2111933731168971 
17200 	194554 	67640 	7.2451854438532601 
17300 	193223 	69700 	7.2425271586381248 
17400 	193026 	67395 	7.2484994499292696 
17500 	191067 	69122 	7.2382809294292025 
17600 	193675 	68191 	7.2489594831359936 
17700 	194642 	68017 	7.2743011348544462 
17800 	193675 	68124 	7.2426059550305943 
17900 	197353 	67016 	7.2515586821568059 
18000 	200677 	68189 	7.2518066786560382 
18100 	196187 	68468 	7.2554463880897018 
18200 	196220 	68809 	7.311532219714536 
18300 	189526 	69675 	7.3311628044693 
18400 	193237 	68458 	7.3106294266474041 
18500 	189909 	69381 	7.316865773939127 
18600 	197750 	66609 	7.3035947850254175 
18700 	192661 	68651 	7.3190420052931096 
18800 	193785 	68995 	7.3089247466505887 
18900 	187679 	69428 	7.3179943548691364 
19000 	190848 	67287 	7.2994502297947701 
19100 	196375 	65986 	7.3066274615127469 
19200 	194584 	68825 	7.2881081336892626 
19300 	190682 	68112 	7.2691818502253698 
19400 	196864 	65328 	7.2800056864167422 
19500 	195267 	68758 	7.2848445834585718 
19600 	197747 	66585 	7.2947529245112426 
19700 	197037 	70947 	7.3073090281748243 
19800 	192056 	67579 	7.3200757563542309 
19900 	198474 	67296 	7.3311212872678153 
20000 	191065 	67196 	7.3135937340571733 
20100 	189184 	67557 	7.3272900196594595 
20200 	193977 	68053 	7.3158944783170741 
20300 	195289 	70023 	7.33219939730549 
20400 	198420 	68541 	7.3365262003177723 
20500 	195775 	66432 	7.3576548909393331 
20600 	194335 	66277 	7.342321004850997 
20700 	198982 	68688 	7.3588384276614738 
20800 	196005 	66959 	7.3328209561255138 
20900 	195519 	67308 	7.3073874707036355 
21000 	192379 	66820 	7.3323335947863297 
21100 	193195 	66856 	7.3517804797167807 
21200 	192481 	67956 	7.3437901722197179 
21300 	190111 	67422 	7.3714605651890119 
21400 	193630 	66809 	7.3880487500897232 
21500 	185121 	67265 	7.3653449506293631 
21600 	195138 	67289 	7.4181071425771643 
21700 	191086 	66271 	7.4264288139040584 
21800 	196676 	66795 	7.4191288433148381 
21900 	196441 	66151 	7.4318958385092131 
22000 	193119 	66451 	7.416917977263191 
22100 	189305 	66955 	7.4207009290466717 
22200 	192037 	68262 	7.4507885996670806 
22300 	199475 	65908 	7.4209337136924391 
22400 	189905 	67350 	7.4494392902550839 
22500 	192249 	66913 	7.446203838216694 
22600 	187362 	66285 	7.4749346975209514 
22700 	195142 	66940 	7.4404297408599049 
22800 	194642 	66637 	7.4280339533311111 
22900 	196141 	66938 	7.4526226478385222 
23000 	192121 	68598 	7.4935590780805823 
23100 	190469 	65839 	7.5242211567079353 
23200 	191199 	67088 	7.5395972217666545 
23300 	191741 	67358 	7.5290866723077636 
23400 	190523 	65878 	7.5431059576882111 
