Time 	mean_delta_inf 	mean_S_exp_offspring 	mean_S_real_offspring 	mean_mean_real_transmission 
2000 	0.0040451107537534297 	0.0040434278188489986 	0.0040454622277388734 	-3.5147398608125705e-07 
4000 	0.0031508187343906001 	0.0031335722357223035 	0.0031517639051547907 	-9.4517076288217211e-07 
6000 	0.0024587721759211137 	0.0024729994563162639 	0.0024606387570983742 	-1.8665811776246113e-06 
8000 	0.0020871081844258265 	0.0020832694051437484 	0.0020860826767768017 	1.0255076485074511e-06 
10000 	0.002191899716003629 	0.0021671147715323527 	0.0021913279603438308 	5.7175566063952106e-07 
12000 	0.0022821389633415519 	0.0022729320978179968 	0.0022854285774415802 	-3.289614100162121e-06 
14000 	0.0019552111430445329 	0.0019888715993462069 	0.0019544343984317404 	7.7674461208297541e-07 
16000 	0.0019209435652661959 	0.001945860192273782 	0.0019214910007035308 	-5.4743543714443357e-07 
18000 	0.0020034823865487539 	0.0019757635697159053 	0.0020026649405355122 	8.1744601176741549e-07 
20000 	0.0014328518053343905 	0.0014189265889508358 	0.0014317589901510872 	1.0928151852283208e-06 
22000 	0.0017237724775228821 	0.0017071368040308054 	0.0017248391608751319 	-1.0666833533338343e-06 
24000 	0.0012709774311612917 	0.0012626887421481471 	0.0012698465112745713 	1.1309198875932632e-06 
26000 	0.0016164854082892078 	0.0015758238183615392 	0.001613498495551089 	2.9869127384129425e-06 
28000 	0.0012776919239511279 	0.0013542483288714604 	0.0012780200583734028 	-3.2813442348022821e-07 
30000 	0.0011101270319714054 	0.0010739534256791856 	0.0011092302900740792 	8.9674189807131178e-07 
32000 	0.00097940489082437663 	0.00093586944321529539 	0.00097918599125461966 	2.1889956983258413e-07 
34000 	0.0007598565393708228 	0.00077493526575632562 	0.00075656786275657764 	3.2886766172226927e-06 
36000 	0.00095860460566638038 	0.00096588284180001559 	0.00096079259640785022 	-2.1879907446626601e-06 
38000 	0.0010272647550611397 	0.0010277400612747612 	0.0010274775996777425 	-2.1284461691051426e-07 
40000 	0.00093853754442223194 	0.00089556183886137794 	0.00093871005241727542 	-1.7250799389467948e-07 
42000 	0.0010221219409062953 	0.0010432249779213022 	0.0010255658262266017 	-3.4438853215084055e-06 
44000 	0.0010554534546302677 	0.0011018132233511981 	0.0010522414422505563 	3.2120123798546774e-06 
46000 	0.00091876415860110683 	0.00098786831550858522 	0.00091740097364915421 	1.363184953907057e-06 
48000 	0.00083102462898734331 	0.0008000677277048789 	0.00083023901896779324 	7.8561002153310144e-07 
50000 	0.00069423923805926081 	0.0007473020700132486 	0.00069250511206441867 	1.7341259908798621e-06 
52000 	0.00065119827870759647 	0.00066266238834212881 	0.0006500703811096756 	1.1278975997031048e-06 
54000 	0.0008375215115557069 	0.00076754733305220782 	0.00084149377388627734 	-3.9722623304624423e-06 
56000 	0.00093207026807361616 	0.00086422436234851504 	0.00092920065037195641 	2.8696177046113319e-06 
58000 	0.00084484951351674199 	0.00079965483856917852 	0.00084499665642353324 	-1.4714291020007098e-07 
60000 	0.00084564181346126336 	0.00078355227006083586 	0.00084889865173259514 	-3.2568382724724091e-06 
62000 	0.000845212741258031 	0.0008075642837511893 	0.00084258454000092999 	2.6282012571081931e-06 
64000 	0.00084249513480867937 	0.00081053050174360267 	0.00084121344167263168 	1.2816931367217441e-06 
66000 	0.00096285261953475752 	0.00085696847081923955 	0.0009666930331551721 	-3.840413620783411e-06 
68000 	0.00060422167732665597 	0.00057860611155464005 	0.00060518249013991033 	-9.6081281405709328e-07 
70000 	0.0006129710320882893 	0.00074783232940076852 	0.00060994074380334726 	3.0302882861551278e-06 
72000 	0.00074928549846858057 	0.00069402561019412821 	0.00074776966109781171 	1.5158373701372477e-06 
74000 	0.00067617774477319161 	0.00062952975173334992 	0.00067060004640362176 	5.5776983705461624e-06 
76000 	0.00069353350753642931 	0.00081456284860993234 	0.00069346621123078547 	6.7296301734457745e-08 
78000 	0.001103219138891184 	0.0011109409549956569 	0.001104733804125902 	-1.5146652342314767e-06 
80000 	0.00089491450298471162 	0.00078439776051324975 	0.00089720585559199101 	-2.2913526050273584e-06 
