Time 	Sus 	Infected 	mean_inf 
0 	472408 	52685 	12 
100 	187848 	65179 	11.998650231752624 
200 	122787 	62171 	12.000970556334734 
300 	129208 	64718 	12.00192538400351 
400 	125986 	67099 	11.993685676049525 
500 	133938 	63815 	11.981492559001159 
600 	132817 	67690 	11.967404667305413 
700 	125497 	62053 	11.957325559362436 
800 	123454 	63932 	11.941732811394685 
900 	125495 	65284 	11.917443006898777 
1000 	132214 	64175 	11.903225620086154 
1100 	123966 	65113 	11.879084101521459 
1200 	129291 	66064 	11.858583616327804 
1300 	130427 	67916 	11.829197566174317 
1400 	125541 	63966 	11.785692043104492 
1500 	131100 	64071 	11.783557902631326 
1600 	123153 	65875 	11.742668535999019 
1700 	124848 	66677 	11.685185539576004 
1800 	127996 	67658 	11.661707526115439 
1900 	123174 	68066 	11.642764120227833 
2000 	126681 	65336 	11.574832772954704 
2100 	132962 	68072 	11.52456221048808 
2200 	128304 	68925 	11.518196098932419 
2300 	127080 	68544 	11.452788289171368 
2400 	133661 	67300 	11.417146806445247 
2500 	128066 	67817 	11.382552421878678 
2600 	129768 	70981 	11.327735690395622 
2700 	132595 	68163 	11.27292179653123 
2800 	127491 	68641 	11.268048094855708 
2900 	126378 	71393 	11.232531573234054 
3000 	130806 	69795 	11.198771938116799 
3100 	131677 	69464 	11.180719882994383 
3200 	128074 	68693 	11.125299034391007 
3300 	135676 	69638 	11.094040977750112 
3400 	132865 	72077 	11.057492468956811 
3500 	133630 	69883 	11.03910779787074 
3600 	130768 	71555 	10.980045511609793 
3700 	128993 	69024 	10.920109309409323 
3800 	132772 	72944 	10.893580109100823 
3900 	133718 	70805 	10.832453561615125 
4000 	132532 	75654 	10.747694686338358 
4100 	130934 	72639 	10.70783507124213 
4200 	130164 	71278 	10.660475918911878 
4300 	134791 	72926 	10.586237014665389 
4400 	128875 	73651 	10.525080203322343 
4500 	129400 	72716 	10.468934640800796 
4600 	132740 	72630 	10.400765074204823 
4700 	137705 	75135 	10.336837328654054 
4800 	136744 	76524 	10.304630629375788 
4900 	135202 	73512 	10.214354091526817 
5000 	135368 	77909 	10.179145635840538 
5100 	135406 	77179 	10.075299057239159 
5200 	139029 	77750 	9.9763207451963574 
5300 	137383 	77157 	9.9351152810943226 
5400 	137147 	79485 	9.8719253135444447 
5500 	137362 	81150 	9.7956894523181006 
5600 	140593 	78636 	9.7512303357161123 
5700 	138407 	79987 	9.6964982972291374 
5800 	136988 	80297 	9.666355541798719 
5900 	141976 	80957 	9.614220333124436 
6000 	142839 	82718 	9.5916925837769753 
6100 	137474 	79622 	9.5360287197956897 
6200 	144440 	81212 	9.4737240059856163 
6300 	143630 	82774 	9.45731396719553 
6400 	143502 	82013 	9.3867109114949479 
6500 	141875 	83565 	9.3000026928522086 
6600 	142508 	83618 	9.2936461401062083 
6700 	135409 	83443 	9.1928137457349663 
6800 	138277 	86744 	9.1972277911465561 
6900 	141530 	85808 	9.1427105108197892 
7000 	144166 	85513 	9.0757156052384182 
7100 	145672 	87567 	9.0769831930131275 
7200 	139262 	85333 	9.0380604933251352 
7300 	147352 	86165 	8.9881922509234489 
7400 	140206 	87144 	8.9540665021931183 
7500 	147947 	85640 	8.9239021365827096 
7600 	147288 	87502 	8.8719502065856659 
7700 	144628 	86789 	8.8389502273377971 
7800 	148991 	87387 	8.7800667080841723 
7900 	144840 	88919 	8.7337977918484064 
8000 	149695 	89102 	8.7009898668310353 
8100 	147412 	90114 	8.6464127034731177 
8200 	144787 	90554 	8.6452758806086241 
8300 	145868 	89887 	8.6076635944369926 
8400 	148717 	90954 	8.5985132983392489 
8500 	151930 	90980 	8.5745177086477042 
8600 	149694 	89226 	8.530154693753099 
8700 	148385 	91011 	8.5181386782923116 
8800 	148277 	88145 	8.4734968773425088 
8900 	146582 	90668 	8.4555010404583619 
9000 	149721 	91971 	8.4176659238927893 
9100 	153116 	91498 	8.4057470979670033 
9200 	148808 	91033 	8.3657391900571199 
9300 	150772 	90143 	8.3553236925411589 
9400 	152272 	91994 	8.3284109803159172 
9500 	151460 	92316 	8.3009873482576264 
9600 	153374 	92815 	8.2911412871822652 
9700 	151233 	91553 	8.258492772008303 
9800 	152479 	92332 	8.2428873301654946 
9900 	156767 	91168 	8.2319949580024243 
10000 	152580 	93839 	8.1952778123331047 
10100 	150042 	92529 	8.17719415028429 
10200 	152948 	93357 	8.1530911425528867 
10300 	159439 	93182 	8.1303785229058096 
10400 	151096 	95547 	8.1136437324965751 
10500 	158056 	92488 	8.1222157376204471 
10600 	153105 	95072 	8.1449931415460064 
10700 	153090 	92779 	8.1344482386467849 
10800 	153056 	94479 	8.1190657750489237 
10900 	150058 	94584 	8.1051583683211792 
11000 	155590 	97159 	8.0798466144992513 
11100 	152528 	95431 	8.0279959356479171 
11200 	153208 	95449 	8.0298468213936136 
11300 	153816 	96792 	8.0114916033706827 
11400 	155490 	94344 	8.0280028242850001 
11500 	156317 	91191 	8.0239675307715839 
11600 	152788 	94241 	7.9897192811182025 
11700 	156863 	94142 	7.9593573530246919 
11800 	157277 	96292 	7.9331743242777337 
11900 	156044 	94625 	7.9553148040765924 
12000 	156349 	97917 	7.9423480128107782 
12100 	154403 	94089 	7.9551312727117205 
12200 	153892 	94960 	7.9520113217210868 
12300 	152592 	96269 	7.942373171693025 
12400 	156893 	97511 	7.8914052245656512 
12500 	158944 	96408 	7.9057028573548642 
12600 	155525 	97517 	7.8820365376538888 
12700 	154419 	96939 	7.9088103368714027 
12800 	152482 	95784 	7.9215001177279953 
12900 	158073 	95845 	7.9189737574583798 
13000 	158231 	98302 	7.9152722964893671 
13100 	155966 	96648 	7.9008268108076836 
13200 	159233 	98713 	7.926902595779147 
13300 	155127 	96414 	7.8986572463580416 
13400 	160483 	96396 	7.9002936069913652 
13500 	153471 	97093 	7.8597440779552965 
13600 	157843 	96340 	7.8564401605289058 
13700 	156442 	98571 	7.8244562082433209 
13800 	157897 	96614 	7.8426965867557925 
13900 	155015 	96250 	7.8054800107576918 
14000 	156818 	95537 	7.7962683527570826 
14100 	157355 	97483 	7.8073422178008078 
14200 	158717 	97100 	7.7765742575885932 
14300 	157118 	98731 	7.7900739510627179 
14400 	156744 	96252 	7.7929402231518843 
14500 	160516 	99699 	7.7783379194248941 
14600 	162748 	96950 	7.7766953971046755 
14700 	156142 	97192 	7.7739523365300274 
14800 	161451 	97279 	7.7782463755772255 
14900 	155693 	98484 	7.7925870254420246 
15000 	156278 	98758 	7.7819686900464555 
15100 	156409 	97792 	7.7667317365850463 
15200 	160947 	99024 	7.753556115843252 
15300 	157536 	97056 	7.7772488156072059 
15400 	159257 	97669 	7.7690667064366714 
15500 	162330 	96603 	7.8023250158916939 
15600 	157474 	99062 	7.7624878889758939 
15700 	158247 	97088 	7.7654672697053471 
15800 	157971 	96952 	7.7441811430003691 
15900 	161079 	97885 	7.7382042197347012 
16000 	156134 	96686 	7.7294051510143174 
16100 	156553 	96595 	7.7298402450134809 
16200 	161877 	97711 	7.7454989007888635 
16300 	158638 	98198 	7.7400149997511463 
16400 	161207 	96967 	7.7267864346164092 
16500 	157456 	98074 	7.7189097255323329 
16600 	161323 	98002 	7.7333093699006552 
16700 	155984 	100077 	7.6988475430991405 
16800 	160565 	99817 	7.7099509808773687 
16900 	163069 	97180 	7.70237348101079 
17000 	160198 	98562 	7.6962697136258766 
17100 	159502 	99352 	7.6879558147198113 
17200 	157951 	98475 	7.6532236281967094 
17300 	157548 	96401 	7.6894496575980025 
17400 	160903 	99139 	7.7124076971817512 
17500 	159139 	100065 	7.690429667469834 
17600 	160531 	97349 	7.6843598598693772 
17700 	161452 	98032 	7.6759706526809328 
17800 	160400 	99220 	7.6536614074285598 
17900 	162334 	97281 	7.6234576360241011 
18000 	159593 	98122 	7.6383984283956154 
18100 	162196 	99384 	7.6413628729041605 
18200 	156531 	99847 	7.6629677286906785 
18300 	160979 	98563 	7.6369235891063161 
18400 	161106 	99228 	7.6672604283776691 
18500 	156274 	99638 	7.6687603067898209 
18600 	160996 	97459 	7.6632701711525213 
18700 	156306 	99134 	7.6615354691577222 
18800 	159457 	101909 	7.6782193056138635 
18900 	156661 	98448 	7.6599255719712831 
19000 	154434 	96140 	7.6520357716812883 
19100 	158823 	98310 	7.6511112607395422 
19200 	160711 	98682 	7.6474565944963313 
19300 	160604 	100481 	7.6317055619758287 
19400 	160283 	101019 	7.640102068600938 
19500 	160134 	97373 	7.6575575428441862 
19600 	157913 	97492 	7.6745717895422239 
19700 	162475 	98802 	7.6594305025920093 
19800 	163218 	96940 	7.6497429601358871 
19900 	162533 	98615 	7.6475741141869769 
20000 	161315 	101163 	7.6563422663097809 
20100 	160413 	99065 	7.6425871879359546 
20200 	160113 	101472 	7.6369554984715471 
20300 	162255 	99266 	7.6351158255590388 
20400 	160002 	96932 	7.6478934508619094 
20500 	161156 	97254 	7.6258956055795393 
20600 	160051 	100474 	7.6309870298048317 
20700 	159055 	96619 	7.6408402049141548 
20800 	159395 	99453 	7.6637766803244416 
20900 	160490 	98909 	7.6562531631328179 
21000 	161826 	98554 	7.6513744572475586 
21100 	159252 	100299 	7.647581588141481 
21200 	159079 	99001 	7.6132992961108705 
21300 	157200 	98715 	7.5990593176307701 
21400 	161760 	98812 	7.6264864572074744 
21500 	161209 	96776 	7.6096798134964097 
21600 	159255 	99759 	7.5998899424516635 
21700 	157815 	97889 	7.5923214961366723 
21800 	161182 	98337 	7.59034135390585 
21900 	162881 	98617 	7.5933072787159013 
22000 	166260 	100202 	7.5990568714370443 
22100 	163448 	98917 	7.5920139178757768 
22200 	158849 	99175 	7.6355666082260569 
22300 	160957 	101971 	7.6327760220930267 
22400 	157356 	99471 	7.6155973172341875 
22500 	156848 	97114 	7.6191281192814939 
22600 	163073 	98886 	7.6505290889046424 
22700 	160130 	99988 	7.6787357887571757 
22800 	161251 	98238 	7.6778883611891509 
22900 	161123 	100481 	7.6641186336994256 
23000 	161493 	99504 	7.6790621233914198 
23100 	160513 	98542 	7.6702646097041018 
23200 	161625 	99878 	7.6817658839788185 
23300 	158892 	99318 	7.685796723813775 
23400 	157796 	96840 	7.6919182244252626 
23500 	160560 	98870 	7.7018247025473494 
23600 	156578 	96632 	7.713419376259024 
23700 	164014 	99355 	7.6980866565267929 
23800 	156016 	99387 	7.7061909904969959 
23900 	158070 	96578 	7.7199808536997105 
24000 	156747 	98826 	7.7169452715438815 
24100 	160476 	96971 	7.7019068420835435 
24200 	157372 	96752 	7.7081637851446994 
24300 	162763 	98320 	7.7021551857425186 
24400 	160527 	99532 	7.6874048735207605 
24500 	156285 	98268 	7.6721869700522864 
24600 	158854 	99014 	7.6833991603572711 
24700 	160540 	101591 	7.7066507252652592 
24800 	160056 	97369 	7.6826950323048875 
24900 	158314 	96742 	7.6882310384848198 
25000 	161138 	96958 	7.6902499552355845 
25100 	157862 	98083 	7.6709304179048496 
25200 	159466 	99403 	7.6600010010222741 
25300 	160079 	98667 	7.6801957436990946 
25400 	161611 	98663 	7.7039560231174216 
25500 	158642 	99694 	7.7070116426236739 
25600 	161515 	100889 	7.698045036162938 
25700 	162808 	100005 	7.6796949267707957 
25800 	161742 	98139 	7.6844641092645016 
25900 	158320 	96569 	7.6482680925633391 
26000 	155934 	99571 	7.6593635780064622 
26100 	160667 	99394 	7.648399485102594 
26200 	160073 	97284 	7.6359017977707744 
26300 	159599 	98556 	7.6377126236266033 
26400 	157139 	97811 	7.6408522670071228 
26500 	155396 	99530 	7.6567718182801876 
26600 	165826 	98914 	7.6631654843317571 
26700 	156384 	96754 	7.6612018394295944 
26800 	156469 	99639 	7.6377791905688639 
26900 	160851 	99848 	7.6481505844622006 
27000 	156408 	97259 	7.6574938018957095 
27100 	163059 	99151 	7.6296602849345909 
27200 	157486 	99595 	7.6735050636882987 
27300 	159187 	97685 	7.6917044734708986 
27400 	157474 	98377 	7.6815704478532201 
27500 	156424 	97067 	7.6726685410273303 
27600 	159107 	99647 	7.676138755081336 
27700 	160774 	99771 	7.6792205595617764 
27800 	161990 	99116 	7.675428372665368 
27900 	159594 	99431 	7.6785826271628652 
28000 	162658 	100882 	7.6982355464837555 
28100 	161526 	97339 	7.6889377305686422 
28200 	161975 	97547 	7.6972739848849043 
28300 	160652 	97660 	7.6870019321506629 
28400 	158147 	99229 	7.6730294733136528 
28500 	160327 	97485 	7.6800166472697429 
28600 	160913 	100680 	7.6555024889670928 
28700 	153632 	97992 	7.6694771238677264 
28800 	159113 	98226 	7.6786408507963584 
28900 	160273 	98894 	7.6635299346587971 
29000 	157314 	97536 	7.6826820858412157 
29100 	156662 	99647 	7.6723256787844258 
29200 	160145 	99543 	7.6986268912435687 
29300 	159886 	99252 	7.6893042334128134 
29400 	159130 	99962 	7.6945867547445346 
29500 	158079 	98123 	7.6910458227492278 
29600 	160736 	98932 	7.6840241477476736 
29700 	159594 	97919 	7.6751609271612891 
29800 	159824 	98921 	7.6633310537090535 
29900 	159123 	95400 	7.6619111356903256 
30000 	162401 	99848 	7.6719875051472091 
30100 	158035 	100211 	7.698919286018052 
30200 	156715 	96623 	7.6904691492950938 
30300 	161446 	98327 	7.6795340900832203 
30400 	161469 	98170 	7.6570662905184799 
30500 	161020 	97358 	7.6703516575188289 
30600 	163122 	96836 	7.6426446125867704 
30700 	160783 	101234 	7.639971579270644 
30800 	160453 	98471 	7.644216463408994 
30900 	162607 	99875 	7.6643805086583097 
31000 	156643 	97243 	7.6582755765144688 
31100 	158817 	99826 	7.708017071371196 
31200 	156528 	98445 	7.6797225469785628 
31300 	160911 	98889 	7.6695438694502291 
31400 	161871 	98210 	7.6815928378828415 
31500 	161279 	98275 	7.658337626566059 
31600 	155191 	99009 	7.6682181717225042 
31700 	163512 	101360 	7.6656005127264342 
31800 	158763 	99430 	7.6451965746638368 
31900 	159292 	97712 	7.6555457060855403 
32000 	161068 	100108 	7.6701727544426497 
32100 	158609 	99097 	7.6607279218084265 
32200 	158863 	98844 	7.685773656765571 
32300 	160906 	96618 	7.6821691085360895 
32400 	157091 	97641 	7.668213119676663 
32500 	161663 	99521 	7.6714709449256873 
32600 	165133 	98344 	7.6492225657700041 
32700 	158197 	97798 	7.6684677458618973 
32800 	162960 	98836 	7.6685707344678651 
32900 	161994 	97600 	7.6714142178174534 
33000 	161576 	98073 	7.6751510990564906 
33100 	160853 	99434 	7.6763463660439575 
33200 	157109 	98886 	7.6794540243310987 
33300 	160945 	99455 	7.651137964948763 
33400 	159655 	99858 	7.6598553698942995 
33500 	160032 	98913 	7.682535268654231 
33600 	159527 	97367 	7.6787014315682498 
33700 	156698 	99052 	7.6982939168956452 
33800 	159933 	99025 	7.696610645267306 
33900 	160484 	97232 	7.6697165939671024 
34000 	160907 	96759 	7.6926563173436895 
34100 	158945 	95995 	7.7062670983723844 
34200 	156866 	97652 	7.6759766709980379 
34300 	156296 	97497 	7.6928354709742877 
34400 	157248 	97729 	7.7093844063151611 
34500 	158605 	97700 	7.6894406149202368 
34600 	159387 	96575 	7.7106550341831417 
34700 	159608 	98484 	7.6903953079672878 
34800 	160373 	97765 	7.727267572857448 
34900 	157219 	98339 	7.7063642744042573 
35000 	160674 	98297 	7.7444908443170757 
35100 	161208 	97084 	7.7319156847528179 
35200 	158658 	97279 	7.7537171999266992 
35300 	161375 	94998 	7.7545857832158456 
35400 	155207 	98201 	7.768678520740667 
35500 	154439 	99036 	7.7571961885353016 
35600 	158707 	98140 	7.761204679536009 
35700 	155789 	98447 	7.7618131097370098 
35800 	154012 	98949 	7.7874245781148925 
35900 	155902 	97336 	7.7740229126794143 
36000 	155740 	95613 	7.7767550761358351 
36100 	156372 	98684 	7.798733605738887 
36200 	156952 	96737 	7.8089950915797139 
36300 	158597 	97036 	7.7971543310559568 
36400 	156840 	95714 	7.7894549879024959 
36500 	159112 	97947 	7.8017567967570329 
36600 	156639 	98332 	7.7703895277681712 
36700 	157669 	96313 	7.767483901932005 
36800 	159409 	98371 	7.7444700269858249 
36900 	157927 	98447 	7.7522728646447003 
37000 	158336 	98596 	7.7556883703533464 
37100 	154336 	99072 	7.7448071573075419 
37200 	162930 	98123 	7.7468526494249561 
37300 	158564 	99379 	7.7643851594745543 
37400 	157692 	97472 	7.7667199984378721 
37500 	153713 	99202 	7.7636823120491378 
37600 	158801 	97301 	7.7745507822366964 
37700 	157132 	97690 	7.7580773783628816 
37800 	157029 	96218 	7.7608499738609655 
37900 	157524 	99257 	7.7762324863111232 
38000 	158342 	97613 	7.7679165463790802 
38100 	157037 	97905 	7.7542508745138665 
38200 	159615 	98400 	7.7272819200587568 
38300 	160146 	97572 	7.7519592089477003 
38400 	160380 	99274 	7.743543051474969 
38500 	162487 	97116 	7.7702084670547951 
38600 	156524 	98781 	7.7955395662223914 
38700 	162922 	96767 	7.7808085553842634 
38800 	156154 	96422 	7.7723907342308713 
38900 	157764 	96593 	7.7662635081971221 
39000 	159317 	96338 	7.7336828232270989 
39100 	157913 	98090 	7.7236880154279497 
39200 	156479 	97921 	7.7005088201431171 
39300 	156243 	97047 	7.7119161176275384 
39400 	154621 	97297 	7.7253482244573304 
39500 	162513 	99217 	7.698469750988262 
39600 	162571 	96417 	7.6855103659160475 
39700 	162505 	97277 	7.6711509161340734 
39800 	159129 	98196 	7.6897607279757985 
39900 	161628 	100356 	7.6680425420036169 
40000 	155788 	100155 	7.6785901200626272 
40100 	156352 	98855 	7.688439097228569 
40200 	157165 	98413 	7.6995553179625151 
40300 	159500 	99384 	7.678466632098031 
40400 	163553 	97250 	7.6856889330325124 
40500 	162514 	97905 	7.7091740489075429 
40600 	158740 	97728 	7.6723701052353368 
40700 	161754 	99777 	7.7088853474858379 
40800 	155058 	94564 	7.6861891466536916 
40900 	158735 	97366 	7.712584704097738 
41000 	157418 	99143 	7.6991487611638387 
41100 	157835 	98467 	7.7028942755600038 
41200 	157447 	100756 	7.6784173077894735 
41300 	164080 	98242 	7.6789428491043417 
41400 	159649 	97157 	7.7033762351324855 
41500 	159769 	101731 	7.6762521968507658 
41600 	157515 	97425 	7.7105765399556061 
41700 	159483 	98834 	7.7220135632511715 
41800 	158464 	97560 	7.6875428842978319 
41900 	161522 	99623 	7.7033004628591319 
42000 	158296 	98713 	7.7103719026563704 
42100 	157987 	97266 	7.7003091473132788 
42200 	158467 	97189 	7.7044867275481872 
42300 	158360 	96815 	7.7189576835421745 
42400 	161185 	98822 	7.7221201083362168 
42500 	162476 	98769 	7.7263237176069097 
42600 	160642 	96503 	7.6969052598706478 
42700 	160969 	99069 	7.6892231304838541 
42800 	156417 	96757 	7.6977023274633307 
42900 	160016 	97200 	7.6638881350370625 
43000 	159871 	98970 	7.6881696035519527 
43100 	162824 	99023 	7.6936752045577004 
43200 	157684 	99016 	7.7163449512395204 
43300 	159723 	97306 	7.7046085634480965 
43400 	160294 	95552 	7.7073849992906647 
43500 	161688 	97591 	7.7354032869322076 
43600 	163369 	100169 	7.7110106686088216 
43700 	157611 	96252 	7.7282829397780306 
43800 	157797 	99086 	7.721066564022756 
43900 	160385 	97223 	7.7519364124961889 
44000 	155541 	97159 	7.7402756585416483 
44100 	161563 	96282 	7.7299967630418749 
44200 	157151 	97613 	7.7226170585549676 
44300 	158998 	96212 	7.7382848815044545 
44400 	157945 	97666 	7.7275900327513094 
44500 	159924 	99053 	7.7193034610041904 
44600 	156055 	97918 	7.7279480124498505 
44700 	160865 	97223 	7.7626125417741285 
44800 	155597 	97915 	7.7664848245154845 
44900 	157786 	97652 	7.7600719569801146 
45000 	157057 	98369 	7.7456545399259493 
45100 	161714 	98050 	7.7840819265095034 
45200 	158885 	96944 	7.7928339639742266 
45300 	151679 	96568 	7.7939242418860957 
45400 	154626 	96455 	7.791835892387482 
45500 	161733 	96912 	7.7825935294410327 
45600 	160613 	96481 	7.7887261160332937 
45700 	155869 	95724 	7.790814184923498 
45800 	161575 	98086 	7.7717089944140794 
45900 	156226 	96555 	7.7742372095978176 
46000 	153611 	97059 	7.778728941168918 
46100 	158611 	98545 	7.8036236317248893 
46200 	159127 	98238 	7.8075893751909593 
46300 	157402 	97045 	7.7901445122257034 
46400 	156058 	96794 	7.7875740150814954 
46500 	158496 	96871 	7.787333982877926 
46600 	158901 	98312 	7.7637941906969186 
46700 	158547 	97536 	7.7754312292393486 
46800 	154173 	99942 	7.772452637577512 
46900 	158102 	98368 	7.7660234024513111 
47000 	157418 	95830 	7.7963619389976753 
47100 	156954 	98695 	7.8343342452960805 
47200 	162029 	96715 	7.8170349031962552 
47300 	161672 	96468 	7.825518476639779 
47400 	156369 	97534 	7.8171268614264404 
47500 	157700 	95184 	7.8362057838185759 
47600 	155935 	94337 	7.8125504728303365 
47700 	154908 	96356 	7.8469266113699048 
47800 	156909 	98493 	7.8300641444729218 
47900 	157674 	95874 	7.8196464595042574 
48000 	155169 	95601 	7.7991596906714351 
48100 	160166 	97687 	7.8033503841038137 
48200 	157723 	98315 	7.7994983147794343 
48300 	161584 	95537 	7.7974333826590811 
48400 	158020 	95583 	7.8212238914042738 
48500 	162233 	98263 	7.8329695349651844 
48600 	154711 	96516 	7.817407204480709 
48700 	160644 	96129 	7.8081732189093422 
48800 	159493 	99328 	7.8071333590435339 
48900 	154749 	96179 	7.8175691193649417 
49000 	155975 	98416 	7.8447087582538737 
49100 	158494 	98040 	7.8639373031386164 
49200 	156488 	96608 	7.8486558414362841 
49300 	154934 	94984 	7.8202561921580234 
49400 	158803 	98067 	7.8525395933029722 
49500 	158601 	97196 	7.8040771071412562 
49600 	159617 	96133 	7.8238125344347607 
49700 	151529 	98217 	7.8017245195070721 
49800 	158475 	97025 	7.8205564111849117 
49900 	155463 	97021 	7.8329945558456178 
50000 	158873 	97056 	7.8155560131109123 
