Time 	mean_delta_inf 	mean_S_exp_offspring 	mean_S_real_offspring 	mean_mean_real_transmission 	mean_S_pur 	mean_S_pur_full 
2000 	-0.00021258361352264821 	-0.00017522926028881375 	-0.00021295476838873383 	3.7115486530122477e-07 	-0.00013449478590910651 	-0.00013661604400865853
4000 	-0.00041356904330817288 	-0.00042482223062157408 	-0.00041472685719391961 	1.1578138869962032e-06 	-0.00019295032148417053 	-0.00019805597296544962
6000 	-0.00057800105128069125 	-0.00057929577852354182 	-0.00057517503551941665 	-2.8260157617117364e-06 	-0.0001973939076272253 	-0.0002047408690933701
8000 	-0.00044535135847297003 	-0.00042178122539209066 	-0.00044635607713569878 	1.0047186629235461e-06 	-0.00036052038118299557 	-0.000367708315911739
10000 	-0.00025285602724896527 	-0.00026751214024682779 	-0.00025279654809935877 	-5.9479150141921622e-08 	-0.0004152314975248005 	-0.00041977248241677949
12000 	-0.00012646489976116327 	-0.00012251945289843202 	-0.00012610818392597373 	-3.5671583489272308e-07 	-0.00032653110098557181 	-0.00033085507082311676
14000 	-7.303983002684778e-05 	-6.1083940713923653e-05 	-7.4289998893092772e-05 	1.2501688662890994e-06 	-0.000324345591302354 	-0.00032836709831606388
16000 	-3.3431600871382637e-05 	-2.1353984391790474e-05 	-3.2277413184780548e-05 	-1.1541876869629169e-06 	-0.00031013409153300708 	-0.00031396665721424494
18000 	-4.5503361309350956e-05 	-9.0701106704931808e-05 	-4.490592700829246e-05 	-5.9743430118771363e-07 	-0.00030681272988237676 	-0.0003110968398138759
20000 	8.9719189570827141e-06 	5.5238377732068418e-05 	8.6984740399512665e-06 	2.7344491767938007e-07 	-0.00036399342285249581 	-0.00036792368778339662
22000 	-2.8642697436368269e-05 	-1.2015684788329824e-05 	-2.8194521407887869e-05 	-4.4817602831509104e-07 	-0.00033638425474196169 	-0.00034024671761883425
24000 	5.8944200053418604e-05 	4.6748219368492223e-05 	5.7518400490991811e-05 	1.4257995620783629e-06 	-0.00033567085259488281 	-0.00033929683140958245
26000 	-2.8790846768709689e-05 	1.42758526281599e-05 	-2.8314525755110346e-05 	-4.7632101342941843e-07 	-0.00033765032634779297 	-0.00034109405608381778
28000 	1.9435984238646675e-05 	4.8761645116648223e-06 	1.8672124170461751e-05 	7.638600679859853e-07 	-0.00034357523348675363 	-0.000347100796504949
30000 	-1.3124020668273228e-05 	6.5147494827889904e-05 	-1.383855164363496e-05 	7.1453097569315832e-07 	-0.00032324021581408771 	-0.00032645781242170033
32000 	-9.073753522796935e-07 	-6.5481427339507319e-05 	-4.4422751004907473e-07 	-4.6314784251830345e-07 	-0.00031149778868031945 	-0.00031494177147716124
34000 	1.1241781450519905e-05 	3.6127525578407261e-05 	1.2184434165523891e-05 	-9.426527152200691e-07 	-0.00030338444257141622 	-0.00030675507571138792
36000 	4.2049379396072782e-05 	-2.3762248106229494e-05 	4.2799766242363031e-05 	-7.5038684586989381e-07 	-0.00032248720389323416 	-0.00032636764256031956
38000 	-4.4192648783774049e-06 	-7.3537780377679358e-05 	-3.9128247026829128e-06 	-5.0644017642174382e-07 	-0.00031391625742174068 	-0.00031799026384813901
40000 	-4.4663213158226525e-05 	-3.8963516698367387e-05 	-4.4592247278172855e-05 	-7.0965879317281402e-08 	-0.00038273294815104649 	-0.00038652863531518921
42000 	1.58908912968716e-05 	1.3841207500458329e-05 	1.6155446147720852e-05 	-2.6455485071032182e-07 	-0.00030497773034295647 	-0.00030875688102986325
44000 	1.4951877942638969e-05 	3.8706411487639066e-05 	1.3756489525499421e-05 	1.1953884173879627e-06 	-0.00033221158916126904 	-0.0003362297646787704
46000 	1.9226641313634828e-05 	9.5938843642519075e-08 	1.8338245167808333e-05 	8.8839614527887102e-07 	-0.00034751726131100516 	-0.00035140909169403557
48000 	1.0215374751258555e-05 	2.7074290080275128e-06 	1.1538980662385322e-05 	-1.3236059109839156e-06 	-0.00032385639710121549 	-0.00032777609269862265
50000 	8.1981612197385972e-06 	-5.4520759568648633e-05 	8.043284137052949e-06 	1.5487708221632411e-07 	-0.0002927167379695385 	-0.00029693450944923188
